,genre_ids,title,popularity,vote_average,vote_count,studio,year,domestic_gross
0,"[14, 12, 16, 10751]",How to Train Your Dragon,28.734,7.7,7610,P/DW,2010,217600000.0
3,"[16, 10751, 35]",Toy Story 3,24.445,7.7,8340,BV,2010,415000000.0
4,"[16, 10751, 35]",Despicable Me,23.673000000000002,7.2,10057,Uni.,2010,251500000.0
5,"[16, 28, 35, 10751, 878]",Megamind,22.855,6.8,3635,P/DW,2010,148400000.0
7,"[16, 10751]",Tangled,21.511,7.5,6407,BV,2010,200800000.0
19,"[12, 16, 10751]",Robin Hood,0.68,5.7,3,Uni.,2010,105300000.0
21,"[35, 12, 14, 16, 10751]",Shrek Forever After,15.040999999999999,6.1,3843,P/DW,2010,238700000.0
54,"[12, 14, 16, 878]",Tales from Earthsea,12.005,6.6,502,BV,2010,48500.0
68,"[16, 12, 10751, 14]",Legend of the Guardians: The Owls of Ga'Hoole,10.754000000000001,6.6,1223,WB,2010,55700000.0
98,"[16, 12, 10751]",Frozen,26.183000000000003,7.3,9767,BV,2013,400700000.0
116,"[35, 10751, 16, 12]",Yogi Bear,9.096,5.3,387,WB,2010,100200000.0
151,"[16, 10751, 35, 12, 10749]",Alpha and Omega,8.107999999999999,5.4,227,LGF,2010,25100000.0
199,"[16, 35]",Terkel in Trouble,6.135,6.4,39,Indic.,2010,10800.0
276,"[35, 16]",Get Out,0.8340000000000001,5.5,8,Uni.,2017,176000000.0
289,"[16, 12, 35, 10751, 28, 14]",Brave,18.908,6.9,8116,BV,2012,237300000.0
300,"[16, 10751, 12, 35]",Cars 2,23.498,5.9,4058,BV,2011,191500000.0
309,"[16, 10751]",Kung Fu Panda 2,17.363,6.7,3628,P/DW,2011,165200000.0
312,"[16, 10751, 12, 35, 14]",The Smurfs,16.533,5.6,2112,Sony,2011,142600000.0
327,"[16, 35, 10751]",Hop,14.738,5.6,611,Uni.,2011,108100000.0
328,"[16, 12, 35, 10751]",Rio,14.695,6.6,3730,Fox,2011,143600000.0
330,"[16, 35, 10751, 37, 12]",Rango,14.462,6.6,3412,Par.,2011,123500000.0
347,"[18, 16, 10751, 35]",Arthur Christmas,12.981,6.7,692,Sony,2011,46500000.0
353,"[35, 14, 10751, 10402, 16]",Alvin and the Chipmunks: Chipwrecked,12.672,5.5,1055,Fox,2011,133100000.0
364,"[12, 16, 9648]",The Adventures of Tintin,11.981,6.8,3251,Par.,2011,77600000.0
378,"[16, 10751]",Winnie the Pooh,11.147,6.9,444,BV,2011,26700000.0
430,"[28, 12, 16, 10751, 14, 35]",Puss in Boots,9.078,6.3,1422,P/DW,2011,149300000.0
438,"[12, 16, 10751]",Mars Needs Moms,8.852,5.7,299,BV,2011,21400000.0
463,"[16, 35, 10751]",Happy Feet Two,8.131,5.9,754,WB,2011,64000000.0
555,"[16, 18]",Death of a Superhero,5.1579999999999995,7.1,64,Trib.,2012,600.0
564,"[18, 35, 16, 10751]",Inside Out,24.796999999999997,8.0,12691,BV,2015,356500000.0
608,"[28, 16]",Black Panther,2.0580000000000003,5.1,11,BV,2018,700100000.0
663,[16],The Greatest Miracle,0.6,5.6,7,KKM,2011,555000.0
677,"[10751, 16, 35, 12]",Wreck-It Ralph,22.967,7.3,7780,BV,2012,189400000.0
682,"[16, 10751, 35]",Madagascar 3: Europe's Most Wanted,18.705,6.5,3380,P/DW,2012,216400000.0
686,"[16, 35, 12, 10751]",Ice Age: Continental Drift,17.537,6.3,4598,Fox,2012,161300000.0
695,"[16, 35, 10751, 14]",Hotel Transylvania,15.318,6.9,5013,Sony,2012,148300000.0
696,"[14, 16, 10751]",The Secret World of Arrietty,15.245999999999999,7.6,1234,BV,2012,19200000.0
700,"[16, 10751, 14]",Rise of the Guardians,14.934000000000001,7.3,3697,P/DW,2012,103400000.0
705,"[16, 35, 10751]",Frankenweenie,14.627,6.8,1685,BV,2012,35300000.0
716,"[10751, 16, 12, 35]",ParaNorman,13.32,6.8,1358,Focus,2012,56000000.0
